id,name
pos_987,freelance
pos_988,mobile_ux_designer
pos_989,interaction_designer
pos_990,freelance_designer
pos_991,cocoa_frameworks_engineer
pos_992,mac_and_ios
pos_993,mac_os_x_software_developer
pos_994,manufacture_engineer
pos_995,process_engineer
pos_996,validation_engineer
pos_997,qualily_engineer
pos_998,research
pos_999,research_manager
pos_1000,manager_of_research
pos_1001,manager_of_scientist
pos_1002,research_director
pos_1003,director_of_research
pos_1004,director_of_science
pos_1005,director_of_scientist
pos_1006,sharepiont_developer
pos_1007,clinical_contract_associate
pos_1008,sharepoint_developer
pos_1009,risk_analyst
pos_1010,data_model
pos_1011,consumer_technology
pos_1012,crm_and_analytics
pos_1013,business_intelligence
pos_1014,senior_software_developer/sharepoint
pos_1015,senior_sharepoint_administrator/developer
pos_1016,sharepoint_architect
pos_1017,net
pos_1018,development_principal
pos_1019,sdm
pos_1020,technical_project_manager
pos_1021,ux/ui_designer
pos_1022,senior_compensation_analyst
pos_1023,compensation_benefit
pos_1024,compensation_and_benefit_analyst
pos_1025,manager_and_above
pos_1026,qc_analytical_chemist
pos_1027,contract_associate
pos_1028,contract_specialist
pos_1029,paralegal
pos_1030,clinical_data_analyst
pos_1031,clinical_contract_associate_or_contract_associate_or_contract_manager_or_contract_specialist_or_paralegal_or_procurement
pos_1032,internal_sales_account
pos_1033,digital_designer
pos_1034,ux_manager
pos_1035,design_manager
pos_1036,ux_design_manager
pos_1037,interaction_design_manager
pos_1038,digital_market_manager
pos_1039,event_market_manager
pos_1040,quality_specialist
pos_1041,quality_supervisor
pos_1042,quality_assurance_experts
pos_1043,technical_writers
pos_1044,document_management
pos_1045,document_control
pos_1046,tech_writers
pos_1047,technical_manager
pos_1048,d
pos_1049,personal_assistant
pos_1050,pa
pos_1051,executive_assistant
pos_1052,ea
pos_1053,hadoop_engineer
pos_1054,systems_admin
pos_1055,vp_crm_and_analytics
pos_1056,sr_director_crm_and_analytics
pos_1057,interactive_producer
pos_1058,sdet
pos_1059,software_engineer_in_test
pos_1060,search_analyst
pos_1061,campaign_coordinator
pos_1062,campaign_strategist
pos_1063,market_automation_coordinator
pos_1064,market_automation_assistant
pos_1065,market_automation_specialist
pos_1066,market_automation_associate
pos_1067,crm_analyst
pos_1068,data_integration_manager
pos_1069,level_lead_or_above
pos_1070,partner_manager
pos_1071,management_consultant
pos_1072,manage
pos_1073,consult_manager
pos_1074,test
pos_1075,tester
pos_1076,business_consultant
pos_1077,manage_consultant
pos_1078,business_consult
pos_1079,chief_technology_officer
pos_1080,cto
pos_1081,senior_generalist
pos_1082,cg_artist
pos_1083,cg_generalist
pos_1084,manager_of_corporate_engineer
pos_1085,director_of_corporate_engineer
pos_1086,manager_of_corp_eng
pos_1087,technical_operations_manager
pos_1088,technical_operations_director
pos_1089,director_of_corporate_infrastructure
pos_1090,senior_systems_director
pos_1091,web_producer
pos_1092,qc_managers/directors
pos_1093,human_resources_coordinator
pos_1094,hr_assitant
pos_1095,hr_coordinator
pos_1096,hr_assistant
pos_1097,human_resource_assistant
pos_1098,recruit_coordinator
pos_1099,recruiter_coordinator
pos_1100,recruit_assistant
pos_1101,generalist
pos_1102,human_resources_generalist
pos_1103,recruit_generalist
pos_1104,recruiter_generalist
pos_1105,staff_generalist
pos_1106,science
pos_1107,mst
pos_1108,csv
pos_1109,it
pos_1110,aseptic_qa
pos_1111,aseptic_quality_assurance
pos_1112,validation_sme
pos_1113,validation_director
pos_1114,validation_head
pos_1115,validation_management
pos_1116,validation_manager_utilities
pos_1117,project_manager_utilities
pos_1118,quality_person
pos_1119,qp
pos_1120,consult_or_freelance_or_freelance_or_consultant_or_independent_or_contractor_or_contract_or_interim_or_owner
pos_1121,field_corrective_action
pos_1122,quantitative_analysis
pos_1123,director_of_business_development
pos_1124,publish_account_manager
pos_1125,publish_manager
pos_1126,title_caand_lìêm_tèç_h®¡èýng_engineer_ôi_lì»n
pos_1127,software_development_engineer_in_test
pos_1128,test_automation
